 do not satisfy 	 is not consistent with 
 not agree with 	 not approve 
 do n't kill me 	 're not gonna kill me 
 , in particular as regards 	 , not least for 
 , there has not been 	 still did not 
 can not continue 	 can no longer 
 panel has not 	 had no 
 no , not yet 	 - well , not yet 
 not feel that 	 not consider that 
 'm nothing . 	 'm not anything . 
 , are n't we 	 - is not 
 's not like the 	 not like the 
 he did not get 	 he did not receive 
 security not 	 safety not 
 , shall not 	 issue is not 
 it 's not me . 	 i did n't do it . 
 - not any more 	 -not anymore 
 is not able to 	 is allowed 
 not ... really 	 not exactly 
 you will not 	 you 're not going to 
 , rather 	 but was not 
 you should probably go 	 - he 's not going anywhere 
 did not survive . 	 did n't survive . 
 - i 'm not afraid 	 because i 'm not afraid 
 did you not ? 	 would n't you say ? 
 can not be regarded 	 does not qualify 
 's hard to 	 is not easy to 
 , does not 	 contained no 
 it is unreasonable 	 is not reasonable 
 rambo , do n't do it 	 no , it did not 
 , not everyone 	 , not all of 
 are not complied with 	 are met 
 - double dare 	 not checking in , yes 
 ... ... there 's 	 , there has not 
 no , he 's not 	 he does n't know 
 does n't she ? 	 does she not ? 
 i 'm not sure i understand 	 i 'm confused 
 's unacceptable 	 can not be tolerated 
 was not supported . 	 did not receive support . 
 is not here to 	 're not here to 
 not want to 	 n't want to 
 am not referring 	 do n't talk to me 
 is not supported by this version 	 is not compatible with this version 
 commission can not agree 	 commission can not accept 
 shall not exercise their 	 organizations shall not exercise their 
 not afraid of 	 not worried 
 have not yet signed 	 have not signed 
 does n't mean they 	 does not mean that they 
 've nothing to 	 're not supposed to 
 were missing 	 were not available 
 , that is not a 	 he 's not a 
 apart from 	 not only is 
 who do n't 	 which it did not 
 lack a 	 there is not enough 
 can not forget that 	 must remember that 
 was dismissed 	 is not accepted 
 'm not asleep . 	 'm not sleeping . 
 well , why not 	 - why the hell not 
 if it is not possible to 	 if you can not 
 is not likely 	 can hardly 
 " i do n't 	 " i do not 
 not participating in 	 are not involved in 
 we fail to do so 	 we do not do so 
 not only should 	 not limited 
 she can not 	 it is not possible 
 did not object 	 has no objection 
 duty not 	 responsibility 
 was it not ? 	 have n't we ? 
 - yeah , why not 	 why not 
 be contained 	 is not limited 
 n't go anywhere 	 not going anywhere 
 if nothing is 	 if this does not 
 not going home 	 n't come in here 
 some not 	 others not 
 is undisputed that 	 is not disputed that 
 no later than 6 	 not later than six 
 have no intention 	 does not plan to 
 that 's not fair 	 this is n't right 
 never mind 	 does not matter 
 was not designed to 	 was not intended to 
 scared , man 	 not scared of him 
 not the bad guy 	 not the bad guy , kid 
 perhaps not . 	 but maybe not . 
 it not the 	 , nor is it 
 sectors not 	 areas not 
 supported on 	 is not inconsistent with 
 do n't you think ? 	 are you not ? 
 and not of 	 and is without 
 it is not a case of 	 this is not a 
 was incompatible with 	 is not in 
 - that 's right 	 no , i 'm not kidding 
 not via 	 not through 
 the claimant did not provide 	 the claimant did not submit 
 - did you write the report 	 no , not at this time 
 're not listening . 	 have n't been listening . 
 - well done , damien boy 	 -no , not right now 
 currently working 	 not currently 
 have not always been 	 may not be 
 are essentially 	 not least 
 that does not appear 	 that does n't appear 
 's no killer , lamar . 	 's not a killer . 
 look , it does n't matter 	 it matters not 
 i tell you no 	 no , i am not 
 that is incorrect 	 you 're not 
 what do you resent 	 why is itnot working 
 your job is not 	 they are not 
 , and does not 	 and stopping the 
 had yet been 	 not already 
 not as bad as it seems 	 not as bad as all that 
 does not seek to 	 is not aimed at 
 - why the hell not ? 	 - and why is that ? 
 no , he does n't 	 but you 're not 
 , but you can not 	 , but failed to 
 'm not going with 	 're not coming with 
 it is difficult 	 it is not clear 
 expect to 	 it is not anticipated 
 is unfair 	 's not fair 
 especially not 	 particular are 
 deal with the issue 	 not addressed 
 did not appear 	 not seem 
 if faulty 	 if this is not the case 
 would not constitute 	 did not provide 
 data are not available 	 such data are not available 
 do not believe the 	 do not think that the 
 's not funny 	 was n't funny 
 ever received 	 not receive 
 'm not in 	 was n't 
 you can not 	 you failed 
 is ok 	 's not okay 
 president , i do not wish 	 president , i am not going 
 that have yet 	 which has still not 
 it easy 	 it is not difficult 
 then why not 	 - and why is that 
 yeah , so 	 yeah , why not 
 section does not apply 	 article does not apply 
 she did not know 	 she did n't know 
 is no doubt 	 could not be denied 
 , in particular , 	 , including but not limited 
 was not authorized 	 was not allowed 
 but he wo n't 	 , but has not 
 because i do not think 	 because i do not believe that 
 start moving 	 - he 's not going anywhere 
 and there 	 however , he did not 
 if there 's no 	 if you were not in 
 appears to be no 	 not appear to 
 are scarce 	 is not adequate 
 's not feeling well . 	 's not well again . 
 why i did not 	 why i did n't 
 member states are not 	 states are not 
 we must remember 	 we must not forget 
 that it is unable 	 that you can not 
 yeah , yeah 	 not checking in , yes 
 that i can not 	 that i am unable to 
 have yet to 	 does not already 
 do n't forget to 	 do not forget to 
 is not going to be 	 would not be able 
 - that 's not gonna happen 	 no one ever has 
 not involve 	 are no 
 are confined 	 are not limited 
 do not disassemble the 	 do not remove the 
 , it is true . 	 , you 're not . 
 just does n't 	 , you will not 
 wo n't come back 	 's not coming back 
 not generally 	 is general 
 does not seem to have 	 do not appear to 
 you 're not going to die 	 you 're not gonna die 
 does she not ? 	 did n't you ? ! 
 n't care 	 is important not only 
 if you are uncertain 	 if you are not sure 
 is therefore 	 can not 
 air canada did not 	 air canada failed 
 common is 	 not uncommon 
 not agree with the 	 disagree with the 
 it 's 	 it was not 
 is no guarantee 	 does not represent 
 's not over yet . 	 's not finished yet . 
 does it not 	 do n't you , 
 am no 	 it is not the case that 
 longer continue 	 not continue 
 madam president , there is no 	 mr president , it is not 
 do n't ya ? 	 are we not ? 
 that is not compatible 	 which is inconsistent 
 is dismissed 	 is not accepted 
 are restricted 	 shall not be subject 
 is distinct from 	 must not be confused with 
 why do you ask ? 	 why not liked ? 
 to be applied 	 is not applicable 
 am unable to 	 're not allowed 
 is no longer necessary 	 is not necessary 
 no progress has been 	 there was not 
 peace can not 	 peace can only 
 well , i 'm not . 	 but i 'm not . 
 - it 's not fair 	 this is n't fair 
 who has not yet 	 that was not 
 did not sleep with 	 did n't sleep with 
 does not function . 	 is not working . 
 it is hardly surprising that 	 not surprisingly , 
 i do not know why 	 i do n't know why 
 not been sufficient 	 not adequate 
 does not alter 	 does not affect 
 not practical 	 not realistic 
 or otherwise of 	 or not of 
 did not understand why 	 does n't understand why 
 is n't good . 	 's not good . 
 did not give 	 did not present 
 that will not 	 that is n't 
 are missing from 	 were not included in 
 has not , however , 	 did not 
 am not against 	 are not opposed to 
 was incapable of 	 has not been able 
 're not my mother ! 	 are n't my mother . 
 's just not true . 	 is not happening . 
 totally unacceptable 	 not acceptable 
 will never happen 	 's not going to happen 
 will never allow 	 will absolutely not allow 
 can not determine if 	 is unable to determine whether 
 n't happen . 	 not going to happen . 
 no , rome 	 not after seeing you 
 's all right . 	 're not doing anything . 
 be curtailed 	 is not limited 
 - you 're kidding . 	 -no , it 's not . 
 were dealt with 	 are not treated 
 're still 	 is not yet 
 it 's not nice 	 this is n't right 
 not think this 	 not believe that this 
 do not match the 	 do not correspond to the 
 , you have no 	 you are not required 
 is being dealt with 	 are not treated 
 will not function if 	 will not work if 
 was not easy 	 is a challenge 
 talk then 	 not finished talking about this 
 had no right 	 were not allowed 
 are opposed to the 	 do not support the 
 'm not doing it for 	 do n't do it for 
 area is not 	 substance is not 
 that he would not 	 that he does n't 
 is not qualified 	 is not eligible 
 must not forget , however , 	 must not forget 
 - i 'm not a weed 	 that is not true 
 is capable of being 	 will not be 
 not think the 	 not believe the 
 i will not defer 	 no , i did n't talk 
 not responding 	 not answer 
 's not a big deal 	 does not matter 
 're not hearing me . 	 're not listening . 
 do not place 	 , does not constitute 
 are poor 	 is not good enough 
 i see nothing 	 but i 'm not convinced 
 , there is no indication 	 it is not clear 
 not reply to the questionnaire 	 not respond to the questionnaire 
 all done 	 not gonna happen this time 
 that the same matter is not 	 that the matter is not 
 that i do not believe 	 that i do not think 
 do n't know where he is 	 do not know 
 not doing it 	 not gonna do it 
 is not allowing 	 does not permit 
 of course she does 	 of course you 're not 
 i did n't kill her 	 i did not kill her 
 not incorporated in 	 not included in 
 are not limited 	 not confined 
 did not know that . 	 did n't know . 
 - not me 	 - did n't i 
 that does not mean that 	 this is not to say that 
 can be hard 	 is not easy 
 but why not 	 you know , why not 
 there is no possibility 	 we can not 
 do not see that 	 considered it important that 
 you do n't feel 	 you 're not feeling 
 and does not represent 	 and is not 
 i 'm not worried . 	 i 'm not scared . 
 , you should n't 	 , you should not 
 not to overlook 	 not to neglect 
 not right 	 correct 
 can not demonstrate 	 can not show 
 , is n't that so ? 	 , was he not ? 
 does not come 	 assumes no 
 - when did you get out 	 why is itnot working 
 is an offence 	 're not supposed 
 does not deny that 	 does not contest that 
 confine themselves 	 is not limited 
 were often 	 is not always 
 not feasible . 	 not going to happen . 
 is not a goal 	 is not an end 
 is still alive 	 's not dead 
 'd better go 	 're not going there 
 not tomorrow , now 	 fire missiles ... now 
 while we can not 	 although we can not 
 it ai n't me 	 this is not me 
 would not require 	 is no need for 
 does not find 	 do n't find 
 no , i did n't . 	 it 's not true . 
 not my friend 	 not my girlfriend 
 i do n't know who 	 i do not know who 
 and in addition 	 not only is 
 oh , you 're not 	 no , it did n't 
 not be located 	 not be found 
 , and we must not 	 and let us not 
 is not without 	 is structured in 
 the meetings should be 	 they must not be 
 're warriors , not merchants . 	 are warriors , not merchants . 
 prohibited to 	 are not allowed 
 there may not 	 we did n't 
 not true , cypher 	 simply is n't true 
 're not alone 	 's not alone 
 , it does not seem 	 , it does not appear 
 but it was n't 	 , but not 
 complaint was not valid 	 complaint was not well-founded 
 are not real ! 	 're not real ! 
 was not our 	 was n't our 
 n't give a fuck 	 not fucking interested 
 but there 	 however , it does not 
 can not exist 	 can only exist 
 that it was n't 	 that this was not 
 was independent 	 is not relevant 
 i have n't got 	 i 'm not in 
 is n't my real 	 's not my real 
 stay right here 	 'm not going anywhere 
